Craving Type,Cuisine,Mood Associated,Description,Food Name
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #45",Spicy Ramen
Cold,Various,Happy/Chill,Frozen sweet treat #504,Ice Cream
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #448,Chicken 65
Crunchy,Indian,Rainy Day,Fried vegetable fritters #78,Pakora
Salty,American,Snack Craving,Fried potato sticks with salt #174,French Fries
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #513",Sour Candy
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #699,Nachos
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #131",Sour Candy
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #243,Chicken 65
Comfort,Western,Low Mood,"Creamy, cheesy pasta #590",Mac & Cheese
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #7",Lemon Pickle
Sweet,Western,Comfort,Rich chocolate dessert #771,Chocolate Cake
Cold,Various,Happy/Chill,Frozen sweet treat #257,Ice Cream
Sweet,Western,Comfort,Rich chocolate dessert #388,Chocolate Cake
Cold,Various,Tired/Hot Day,Coffee served over ice #54,Cold Coffee
Sweet,Western,Comfort,Rich chocolate dessert #137,Chocolate Cake
Salty,American,Snack Craving,Fried potato sticks with salt #263,French Fries
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #455",Lemon Pickle
Comfort,Western,Low Mood,"Creamy, cheesy pasta #726",Mac & Cheese
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #655",Fried Chicken
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #989",Fried Chicken
Warm,Western,Cozy/Winter,Warm milk with chocolate #571,Hot Chocolate
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #53",Spicy Ramen
Salty,American,Snack Craving,Fried potato sticks with salt #168,French Fries
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #517,Khichdi
Sweet,Western,Comfort,Rich chocolate dessert #501,Chocolate Cake
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #414,Khichdi
Cold,Various,Tired/Hot Day,Coffee served over ice #887,Cold Coffee
Crunchy,Indian,Rainy Day,Fried vegetable fritters #923,Pakora
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #19,Chicken 65
Sweet,Western,Comfort,Rich chocolate dessert #229,Chocolate Cake
Cold,Various,Tired/Hot Day,Coffee served over ice #955,Cold Coffee
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #788",Sour Candy
Comfort,Western,Low Mood,"Creamy, cheesy pasta #924",Mac & Cheese
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #574",Sour Candy
Salty,American,Snack Craving,Fried potato sticks with salt #755,French Fries
Salty,American,Snack Craving,Fried potato sticks with salt #468,French Fries
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #196",Tomato Soup
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #703,Chicken 65
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #454",Sour Candy
Warm,Western,Cozy/Winter,Warm milk with chocolate #129,Hot Chocolate
Warm,Western,Cozy/Winter,Warm milk with chocolate #582,Hot Chocolate
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #150",Fried Chicken
Cold,Various,Happy/Chill,Frozen sweet treat #533,Ice Cream
Comfort,Western,Low Mood,"Creamy, cheesy pasta #300",Mac & Cheese
Salty,American,Snack Craving,Fried potato sticks with salt #362,French Fries
Cold,Various,Happy/Chill,Frozen sweet treat #4,Ice Cream
Cold,Various,Happy/Chill,Frozen sweet treat #787,Ice Cream
Comfort,Western,Low Mood,"Creamy, cheesy pasta #235",Mac & Cheese
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #13",Lemon Pickle
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #172,Nachos
Warm,Western,Cozy/Winter,Warm milk with chocolate #6,Hot Chocolate
Cold,Various,Happy/Chill,Frozen sweet treat #513,Ice Cream
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #77",Sour Candy
Cold,Various,Happy/Chill,Frozen sweet treat #622,Ice Cream
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #622,Khichdi
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #866",Spicy Ramen
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #225",Lemon Pickle
Cold,Various,Happy/Chill,Frozen sweet treat #252,Ice Cream
Cold,Various,Tired/Hot Day,Coffee served over ice #718,Cold Coffee
Sweet,Western,Comfort,Rich chocolate dessert #262,Chocolate Cake
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #851",Spicy Ramen
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #947,Chicken 65
Cold,Various,Happy/Chill,Frozen sweet treat #153,Ice Cream
Salty,American,Snack Craving,Fried potato sticks with salt #637,French Fries
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #8",Tomato Soup
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #685",Sour Candy
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #304,Khichdi
Salty,American,Snack Craving,Fried potato sticks with salt #357,French Fries
Cold,Various,Happy/Chill,Frozen sweet treat #945,Ice Cream
Cold,Various,Tired/Hot Day,Coffee served over ice #595,Cold Coffee
Salty,American,Snack Craving,Fried potato sticks with salt #938,French Fries
Warm,Western,Cozy/Winter,Warm milk with chocolate #846,Hot Chocolate
Cold,Various,Tired/Hot Day,Coffee served over ice #564,Cold Coffee
Cold,Various,Happy/Chill,Frozen sweet treat #440,Ice Cream
Crunchy,Indian,Rainy Day,Fried vegetable fritters #942,Pakora
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #697",Lemon Pickle
Comfort,Western,Low Mood,"Creamy, cheesy pasta #503",Mac & Cheese
Crunchy,Indian,Rainy Day,Fried vegetable fritters #633,Pakora
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #823",Lemon Pickle
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #801",Tomato Soup
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #312,Khichdi
Salty,American,Snack Craving,Fried potato sticks with salt #724,French Fries
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #476,Gulab Jamun
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #975,Gulab Jamun
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #639",Lemon Pickle
Sweet,Western,Comfort,Rich chocolate dessert #935,Chocolate Cake
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #761,Nachos
Comfort,Western,Low Mood,"Creamy, cheesy pasta #18",Mac & Cheese
Cold,Various,Happy/Chill,Frozen sweet treat #2,Ice Cream
Cold,Various,Happy/Chill,Frozen sweet treat #191,Ice Cream
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #124,Khichdi
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #166,Chicken 65
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #613",Fried Chicken
Salty,American,Snack Craving,Fried potato sticks with salt #269,French Fries
Sweet,Western,Comfort,Rich chocolate dessert #320,Chocolate Cake
Cold,Various,Tired/Hot Day,Coffee served over ice #325,Cold Coffee
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #452",Fried Chicken
Salty,American,Snack Craving,Fried potato sticks with salt #828,French Fries
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #946,Khichdi
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #694",Sour Candy
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #939",Sour Candy
Cold,Various,Tired/Hot Day,Coffee served over ice #241,Cold Coffee
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #975,Khichdi
Sweet,Western,Comfort,Rich chocolate dessert #66,Chocolate Cake
Salty,American,Snack Craving,Fried potato sticks with salt #661,French Fries
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #658",Tomato Soup
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #245,Khichdi
Comfort,Western,Low Mood,"Creamy, cheesy pasta #233",Mac & Cheese
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #65",Fried Chicken
Cold,Various,Tired/Hot Day,Coffee served over ice #937,Cold Coffee
Comfort,Western,Low Mood,"Creamy, cheesy pasta #977",Mac & Cheese
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #163",Lemon Pickle
Comfort,Western,Low Mood,"Creamy, cheesy pasta #289",Mac & Cheese
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #72,Gulab Jamun
Comfort,Western,Low Mood,"Creamy, cheesy pasta #477",Mac & Cheese
Warm,Western,Cozy/Winter,Warm milk with chocolate #118,Hot Chocolate
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #131",Sour Candy
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #350,Chicken 65
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #179,Gulab Jamun
Cold,Various,Tired/Hot Day,Coffee served over ice #729,Cold Coffee
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #298,Nachos
Warm,Western,Cozy/Winter,Warm milk with chocolate #304,Hot Chocolate
Cold,Various,Happy/Chill,Frozen sweet treat #715,Ice Cream
Salty,American,Snack Craving,Fried potato sticks with salt #201,French Fries
Crunchy,Indian,Rainy Day,Fried vegetable fritters #703,Pakora
Comfort,Western,Low Mood,"Creamy, cheesy pasta #87",Mac & Cheese
Salty,American,Snack Craving,Fried potato sticks with salt #968,French Fries
Crunchy,Indian,Rainy Day,Fried vegetable fritters #694,Pakora
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #320,Khichdi
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #805",Sour Candy
Sweet,Western,Comfort,Rich chocolate dessert #384,Chocolate Cake
Cold,Various,Tired/Hot Day,Coffee served over ice #249,Cold Coffee
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #744,Nachos
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #697",Fried Chicken
Cold,Various,Tired/Hot Day,Coffee served over ice #176,Cold Coffee
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #559",Tomato Soup
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #965",Fried Chicken
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #361,Gulab Jamun
Comfort,Western,Low Mood,"Creamy, cheesy pasta #967",Mac & Cheese
Sweet,Western,Comfort,Rich chocolate dessert #647,Chocolate Cake
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #669,Chicken 65
Sweet,Western,Comfort,Rich chocolate dessert #513,Chocolate Cake
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #1,Khichdi
Salty,American,Snack Craving,Fried potato sticks with salt #687,French Fries
Warm,Western,Cozy/Winter,Warm milk with chocolate #257,Hot Chocolate
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #544",Spicy Ramen
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #659",Spicy Ramen
Comfort,Western,Low Mood,"Creamy, cheesy pasta #335",Mac & Cheese
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #914",Fried Chicken
Warm,Western,Cozy/Winter,Warm milk with chocolate #260,Hot Chocolate
Sweet,Western,Comfort,Rich chocolate dessert #504,Chocolate Cake
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #318,Khichdi
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #333",Spicy Ramen
Cold,Various,Tired/Hot Day,Coffee served over ice #44,Cold Coffee
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #86",Lemon Pickle
Sweet,Western,Comfort,Rich chocolate dessert #958,Chocolate Cake
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #389,Chicken 65
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #540,Khichdi
Salty,American,Snack Craving,Fried potato sticks with salt #195,French Fries
Comfort,Western,Low Mood,"Creamy, cheesy pasta #731",Mac & Cheese
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #463",Spicy Ramen
Cold,Various,Tired/Hot Day,Coffee served over ice #166,Cold Coffee
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #775",Spicy Ramen
Salty,American,Snack Craving,Fried potato sticks with salt #257,French Fries
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #820",Lemon Pickle
Comfort,Western,Low Mood,"Creamy, cheesy pasta #857",Mac & Cheese
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #767",Sour Candy
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #521",Spicy Ramen
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #104,Nachos
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #945",Sour Candy
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #226,Gulab Jamun
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #970",Fried Chicken
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #244",Tomato Soup
Comfort,Western,Low Mood,"Creamy, cheesy pasta #632",Mac & Cheese
Warm,Western,Cozy/Winter,Warm milk with chocolate #27,Hot Chocolate
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #439",Lemon Pickle
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #932",Sour Candy
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #794,Nachos
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #900,Nachos
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #713,Khichdi
Salty,American,Snack Craving,Fried potato sticks with salt #618,French Fries
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #562",Fried Chicken
Crunchy,Indian,Rainy Day,Fried vegetable fritters #128,Pakora
Cold,Various,Tired/Hot Day,Coffee served over ice #9,Cold Coffee
Comfort,Western,Low Mood,"Creamy, cheesy pasta #589",Mac & Cheese
Cold,Various,Happy/Chill,Frozen sweet treat #679,Ice Cream
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #649",Tomato Soup
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #28",Tomato Soup
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #256",Tomato Soup
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #386",Fried Chicken
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #772",Lemon Pickle
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #552,Nachos
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #65",Sour Candy
Crunchy,Indian,Rainy Day,Fried vegetable fritters #621,Pakora
Salty,American,Snack Craving,Fried potato sticks with salt #407,French Fries
Cold,Various,Happy/Chill,Frozen sweet treat #959,Ice Cream
Cold,Various,Happy/Chill,Frozen sweet treat #228,Ice Cream
Cold,Various,Tired/Hot Day,Coffee served over ice #38,Cold Coffee
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #469,Khichdi
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #985",Sour Candy
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #816",Tomato Soup
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #258",Lemon Pickle
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #396,Gulab Jamun
Cold,Various,Tired/Hot Day,Coffee served over ice #595,Cold Coffee
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #517,Khichdi
Cold,Various,Tired/Hot Day,Coffee served over ice #435,Cold Coffee
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #751",Lemon Pickle
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #642",Sour Candy
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #705,Gulab Jamun
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #782",Spicy Ramen
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #888",Fried Chicken
Cold,Various,Happy/Chill,Frozen sweet treat #349,Ice Cream
Sweet,Western,Comfort,Rich chocolate dessert #101,Chocolate Cake
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #401,Nachos
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #326,Chicken 65
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #584",Sour Candy
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #679,Khichdi
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #343,Khichdi
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #424",Sour Candy
Sweet,Western,Comfort,Rich chocolate dessert #726,Chocolate Cake
Cold,Various,Tired/Hot Day,Coffee served over ice #25,Cold Coffee
Cold,Various,Tired/Hot Day,Coffee served over ice #900,Cold Coffee
Comfort,Western,Low Mood,"Creamy, cheesy pasta #167",Mac & Cheese
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #278,Gulab Jamun
Crunchy,Indian,Rainy Day,Fried vegetable fritters #385,Pakora
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #303,Khichdi
Cold,Various,Tired/Hot Day,Coffee served over ice #621,Cold Coffee
Cold,Various,Tired/Hot Day,Coffee served over ice #914,Cold Coffee
Comfort,Western,Low Mood,"Creamy, cheesy pasta #106",Mac & Cheese
Sweet,Western,Comfort,Rich chocolate dessert #296,Chocolate Cake
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #586,Nachos
Cold,Various,Happy/Chill,Frozen sweet treat #625,Ice Cream
Comfort,Western,Low Mood,"Creamy, cheesy pasta #941",Mac & Cheese
Warm,Western,Cozy/Winter,Warm milk with chocolate #51,Hot Chocolate
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #252",Fried Chicken
Crunchy,Indian,Rainy Day,Fried vegetable fritters #470,Pakora
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #852,Nachos
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #625",Spicy Ramen
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #362,Khichdi
Cold,Various,Tired/Hot Day,Coffee served over ice #248,Cold Coffee
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #859",Lemon Pickle
Cold,Various,Happy/Chill,Frozen sweet treat #136,Ice Cream
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #818,Gulab Jamun
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #565,Chicken 65
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #548,Chicken 65
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #418,Khichdi
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #549,Nachos
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #729",Tomato Soup
Cold,Various,Tired/Hot Day,Coffee served over ice #546,Cold Coffee
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #248",Spicy Ramen
Comfort,Western,Low Mood,"Creamy, cheesy pasta #56",Mac & Cheese
Warm,Western,Cozy/Winter,Warm milk with chocolate #703,Hot Chocolate
Comfort,Western,Low Mood,"Creamy, cheesy pasta #882",Mac & Cheese
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #466",Fried Chicken
Crunchy,Indian,Rainy Day,Fried vegetable fritters #105,Pakora
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #942,Khichdi
Comfort,Western,Low Mood,"Creamy, cheesy pasta #526",Mac & Cheese
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #632,Nachos
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #193",Tomato Soup
Cold,Various,Tired/Hot Day,Coffee served over ice #708,Cold Coffee
Warm,Western,Cozy/Winter,Warm milk with chocolate #677,Hot Chocolate
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #629,Chicken 65
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #698,Chicken 65
Cold,Various,Tired/Hot Day,Coffee served over ice #332,Cold Coffee
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #385",Tomato Soup
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #816,Chicken 65
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #602",Fried Chicken
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #31,Chicken 65
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #17,Nachos
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #907,Gulab Jamun
Sweet,Western,Comfort,Rich chocolate dessert #451,Chocolate Cake
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #157",Lemon Pickle
Warm,Western,Cozy/Winter,Warm milk with chocolate #731,Hot Chocolate
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #842,Nachos
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #502,Chicken 65
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #510,Chicken 65
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #693",Fried Chicken
Comfort,Western,Low Mood,"Creamy, cheesy pasta #291",Mac & Cheese
Salty,American,Snack Craving,Fried potato sticks with salt #558,French Fries
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #287,Khichdi
Crunchy,Indian,Rainy Day,Fried vegetable fritters #629,Pakora
Salty,American,Snack Craving,Fried potato sticks with salt #381,French Fries
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #599,Khichdi
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #671",Spicy Ramen
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #364,Gulab Jamun
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #448,Gulab Jamun
Crunchy,Indian,Rainy Day,Fried vegetable fritters #469,Pakora
Cold,Various,Happy/Chill,Frozen sweet treat #885,Ice Cream
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #78",Spicy Ramen
Cold,Various,Tired/Hot Day,Coffee served over ice #906,Cold Coffee
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #550",Sour Candy
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #426",Fried Chicken
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #545,Khichdi
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #574,Khichdi
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #669",Tomato Soup
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #178",Lemon Pickle
Warm,Western,Cozy/Winter,Warm milk with chocolate #25,Hot Chocolate
Cold,Various,Happy/Chill,Frozen sweet treat #530,Ice Cream
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #169",Lemon Pickle
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #386",Tomato Soup
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #143",Spicy Ramen
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #911",Sour Candy
Warm,Western,Cozy/Winter,Warm milk with chocolate #574,Hot Chocolate
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #180,Chicken 65
Crunchy,Indian,Rainy Day,Fried vegetable fritters #410,Pakora
Sweet,Western,Comfort,Rich chocolate dessert #401,Chocolate Cake
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #894",Sour Candy
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #939",Lemon Pickle
Salty,American,Snack Craving,Fried potato sticks with salt #449,French Fries
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #108",Fried Chicken
Sweet,Western,Comfort,Rich chocolate dessert #618,Chocolate Cake
Sweet,Western,Comfort,Rich chocolate dessert #888,Chocolate Cake
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #810,Nachos
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #79",Spicy Ramen
Cold,Various,Happy/Chill,Frozen sweet treat #608,Ice Cream
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #21,Chicken 65
Sweet,Western,Comfort,Rich chocolate dessert #553,Chocolate Cake
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #157",Tomato Soup
Crunchy,Indian,Rainy Day,Fried vegetable fritters #198,Pakora
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #600,Chicken 65
Cold,Various,Happy/Chill,Frozen sweet treat #78,Ice Cream
Cold,Various,Happy/Chill,Frozen sweet treat #218,Ice Cream
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #201",Spicy Ramen
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #215,Gulab Jamun
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #388,Khichdi
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #185",Tomato Soup
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #170,Khichdi
Sweet,Western,Comfort,Rich chocolate dessert #896,Chocolate Cake
Crunchy,Indian,Rainy Day,Fried vegetable fritters #938,Pakora
Salty,American,Snack Craving,Fried potato sticks with salt #119,French Fries
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #821,Nachos
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #942",Fried Chicken
Salty,American,Snack Craving,Fried potato sticks with salt #725,French Fries
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #537,Nachos
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #271",Tomato Soup
Cold,Various,Happy/Chill,Frozen sweet treat #91,Ice Cream
Sweet,Western,Comfort,Rich chocolate dessert #739,Chocolate Cake
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #911,Khichdi
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #121",Lemon Pickle
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #829",Lemon Pickle
Sweet,Western,Comfort,Rich chocolate dessert #757,Chocolate Cake
Crunchy,Indian,Rainy Day,Fried vegetable fritters #703,Pakora
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #768",Tomato Soup
Cold,Various,Happy/Chill,Frozen sweet treat #176,Ice Cream
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #714",Lemon Pickle
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #87",Fried Chicken
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #422",Lemon Pickle
Sweet,Western,Comfort,Rich chocolate dessert #297,Chocolate Cake
Cold,Various,Happy/Chill,Frozen sweet treat #394,Ice Cream
Sweet,Western,Comfort,Rich chocolate dessert #9,Chocolate Cake
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #2",Sour Candy
Sweet,Western,Comfort,Rich chocolate dessert #624,Chocolate Cake
Salty,American,Snack Craving,Fried potato sticks with salt #356,French Fries
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #605,Gulab Jamun
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #987,Gulab Jamun
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #880",Sour Candy
Cold,Various,Happy/Chill,Frozen sweet treat #588,Ice Cream
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #690",Sour Candy
Cold,Various,Tired/Hot Day,Coffee served over ice #861,Cold Coffee
Sweet,Western,Comfort,Rich chocolate dessert #982,Chocolate Cake
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #392,Khichdi
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #405,Khichdi
Warm,Western,Cozy/Winter,Warm milk with chocolate #882,Hot Chocolate
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #753,Chicken 65
Comfort,Western,Low Mood,"Creamy, cheesy pasta #257",Mac & Cheese
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #568,Chicken 65
Comfort,Western,Low Mood,"Creamy, cheesy pasta #710",Mac & Cheese
Comfort,Western,Low Mood,"Creamy, cheesy pasta #444",Mac & Cheese
Salty,American,Snack Craving,Fried potato sticks with salt #375,French Fries
